----- Node: 33812 Degree: 3
33826	33806
33826	33812
33812	33806
33812	33839
33806	33839
----- Node: 29254 Degree: 1
880	29254
----- Node: 6324 Degree: 12
6406	273
6406	370
6406	1672
6406	6324
1031	273
1031	370
1031	923
1031	1095
1031	1101
1031	1341
1031	1871
1031	6324
1095	273
1095	370
1095	923
1095	1101
1095	1341
1095	1672
1095	1871
1095	2262
1095	6323
1095	6324
1672	273
1672	923
1672	1101
1672	1341
1672	2262
1672	6324
1101	273
1101	370
1101	923
1101	6324
1871	273
1871	370
1871	1341
1871	2262
1871	6324
273	370
273	923
273	1341
273	6324
370	923
370	1341
370	2262
370	6323
370	6324
6323	2262
6323	6324
6324	923
6324	1341
6324	2262
----- Node: 16936 Degree: 1
16936	2215
----- Node: 29153 Degree: 5
29152	7848
29152	19026
29152	29150
29152	29151
29152	29153
29153	7848
29153	19026
29153	29150
29153	29151
7848	19026
7848	29150
7848	29151
19026	29150
19026	29151
29150	29151
----- Node: 5414 Degree: 4
5414	213
5414	4210
5414	5194
5414	5195
5194	213
5194	4210
5194	5195
5195	213
5195	4210
4210	213
----- Node: 22815 Degree: 3
530	5211
530	22814
530	22815
5211	22814
5211	22815
22814	22815
----- Node: 2899 Degree: 1
82	2899
----- Node: 7648 Degree: 25
526	292
526	314
526	592
526	672
526	1198
526	2654
526	3111
526	3117
526	3138
526	3915
526	4521
526	5750
526	7648
526	8977
526	11109
5775	672
5775	3111
5775	3117
5775	3138
5775	5313
5775	5734
5775	5750
5775	7648
1040	1629
1040	1824
1040	4542
1040	7648
8977	672
8977	3117
8977	3915
8977	5750
8977	7648
8977	7778
8977	11109
672	292
672	314
672	592
672	948
672	1198
672	3111
672	3117
672	3138
672	3915
672	4521
672	4542
672	5750
672	7648
672	11109
1824	948
1824	1629
1824	4542
1824	5313
1824	7648
292	314
292	592
292	1198
292	2654
292	3111
292	3117
292	3138
292	3915
292	5750
292	5926
292	7648
292	7778
5926	314
5926	592
5926	2654
5926	5750
5926	7648
5926	7778
3111	314
3111	592
3111	1198
3111	3117
3111	3138
3111	7648
3111	7778
4521	3915
4521	7648
4521	11109
3117	314
3117	592
3117	1198
3117	3138
3117	5734
3117	5750
3117	7648
3117	11109
1198	314
1198	3138
1198	5750
1198	7648
948	5750
948	7648
948	11109
314	592
314	2654
314	3138
314	3915
314	5750
314	7648
314	7778
4542	1629
4542	7648
5313	5750
5313	7648
3138	592
3138	5750
3138	7648
3138	7778
3915	592
3915	2654
3915	5750
3915	7648
3915	7778
3915	11109
592	2654
592	5750
592	7648
592	7778
1629	7648
2654	5750
2654	7648
2654	7778
7648	5734
7648	5750
7648	7778
7648	11109
7778	5750
----- Node: 25743 Degree: 3
25744	16191
25744	16198
25744	25743
16191	16198
16191	25743
16198	25743
----- Node: 11663 Degree: 6
2722	205
2722	4080
2722	4563
2722	9026
2722	11663
2722	11664
9026	205
9026	4080
9026	4563
9026	11663
9026	11664
205	4080
205	4563
205	11663
205	11664
11663	4080
11663	4563
11663	11664
4080	4563
4080	11664
11664	4563
----- Node: 8174 Degree: 2
308	8134
308	8174
8134	8174
----- Node: 28823 Degree: 1
19454	28823
----- Node: 23038 Degree: 2
3161	23038
3161	23075
23075	23038
----- Node: 5593 Degree: 4
5028	5593
102	5593
2666	5593
2348	5593
----- Node: 23658 Degree: 4
23648	23654
23648	23655
23648	23657
23648	23658
23654	23655
23654	23657
23654	23658
23655	23657
23655	23658
23657	23658
----- Node: 1154 Degree: 93
512	499
512	730
512	1154
1028	134
1028	175
1028	215
1028	263
1028	265
1028	273
1028	353
1028	370
1028	388
1028	420
1028	423
1028	444
1028	525
1028	585
1028	611
1028	639
1028	678
1028	686
1028	723
1028	734
1028	780
1028	804
1028	830
1028	839
1028	851
1028	924
1028	1031
1028	1032
1028	1036
1028	1049
1028	1050
1028	1061
1028	1069
1028	1083
1028	1084
1028	1087
1028	1101
1028	1104
1028	1154
1028	1162
1028	1170
1028	1189
1028	1190
1028	1191
1028	1193
1028	1213
1028	1233
1028	2096
1028	2740
1028	3093
1028	4513
1028	4534
1028	5991
1028	6018
1028	10855
1031	134
1031	263
1031	265
1031	273
1031	353
1031	370
1031	388
1031	420
1031	423
1031	444
1031	525
1031	585
1031	610
1031	639
1031	678
